완독일,구분,도서제목,저자,출판사,링크
2023년 11월 5일,인문,더 좋은 삶을 위한 철학,마이클 슈어,김영사,https://www.yes24.com/Product/Goods/117585439
2023년 10월 31일,경제경영,모두의 팀장,"김문경, 김종원, 노유진, 서인수, 오준엽, 우시혁, 이재하, 이종찬, 이치영, 전수정, 정보미",파지트,https://www.yes24.com/Product/Goods/115254502
2023년 10월 25일,인문,김경일의 지혜로운 인간생활,김경일,저녁달,https://www.yes24.com/Product/Goods/108402259
2023년 10월 23일,경제경영,"빌 캠벨, 실리콘밸리의 위대한 코치","에릭 슈미트, 조너선 로젠버그, 앨런 이글",김영사,https://www.yes24.com/Product/Goods/91426844
2023년 10월 22일,사회과학,물고기는 존재하지 않는다,룰루 밀러,곰출판,https://www.yes24.com/Product/Goods/105526047
2023년 10월 20일,경제경영,이제부터 일하는 방식이 달라집니다,강승훈,위즈덤하우스,https://www.yes24.com/Product/Goods/90523232
2023년 10월 17일,인문,공감의 배신,폴 블룸,이은진,https://www.yes24.com/Product/Goods/78214582
2023년 10월 11일,인문,관용어의 세계,고이즈미 마키오,로그인,https://www.yes24.com/Product/Goods/119123329
2023년 10월 8일,경제경영,부의 추월차선,엠제이 드마코,토트출판사,https://www.yes24.com/Product/Goods/106369008
2023년 10월 4일,인문,메타인지 대화법,이윤지,넥서스BIZ,https://www.yes24.com/Product/Goods/110869174
2023년 10월 1일,사회과학,가짜 노동,"데니스 뇌르마르크, 아네르스 포그 옌센",자음과모음,https://www.yes24.com/Product/Goods/111368582
2023년 9월 26일,문학,쿼런틴,그렉 이건,허블,https://www.yes24.com/Product/Goods/116414065
2023년 9월 19일,경제경영,팀장은 처음이라,"남관희, 유수환",교보문고,https://www.yes24.com/Product/Goods/96652532
2023년 9월 18일,경제경영,직원경험,제이콥 모건,이담북스,https://www.yes24.com/Product/Goods/92323041
2023년 9월 16일,경제경영,인터넷과 이론서에 없는 인사(HR),rebound,부크크,https://www.yes24.com/Product/Goods/90391615
2023년 9월 15일,인문,타이탄의 도구들,팀 페리스,토네이도,https://www.yes24.com/Product/Goods/37533966
2023년 9월 11일,사회과학,대한민국에서 가장 쉽게 쓴 민법책,오수현,시원북스,https://www.yes24.com/Product/Goods/120236298
2023년 8월 29일,인문,뇌는 달리고 싶다,안데르스 한센,반니,https://www.yes24.com/Product/Goods/84500259
2023년 8월 23일,경제경영,리더를 위한 멘탈 수업,"윤대현, 장은지",인플루엔셜,https://www.yes24.com/Product/Goods/104408758
2023년 8월 18일,컴퓨터,그림으로 이해하는 네트워크 구조와 기술,나카오 신지,길벗,https://www.yes24.com/Product/Goods/120241473
2023년 8월 15일,문학,H마트에서 울다,미셸 자우너,문학동네,https://www.yes24.com/Product/Goods/107653917
2023년 8월 11일,컴퓨터,그림으로 이해하는 네트워크 용어,기타미 류지,길벗,https://www.yes24.com/Product/Goods/109021732
2023년 8월 8일,경제경영,우리는 기업문화를 만들어 가는 중입니다,기고만장 필진,바라보다,https://www.yes24.com/Product/Goods/120495186
2023년 8월 6일,경제경영,다정한 조직이 살아남는다,엘라 F. 워싱턴,갈매나무,https://www.yes24.com/Product/Goods/119152328
2023년 8월 4일,인문,일의 철학,"빌 버넷, 데이브 에번스",이미숙,https://www.yes24.com/Product/Goods/103323219
2023년 8월 1일,사회과학,공자가 죽어야 나라가 산다,김경일,바다출판사,https://www.yes24.com/Product/Goods/118997015
2023년 7월 27일,경제경영,오피스 체인지 4.0,김한,라온북,https://www.yes24.com/Product/Goods/118919697
2023년 7월 25일,경제경영,일을 리디자인하라,린다 그랜튼,클,https://www.yes24.com/Product/Goods/117203781
2023년 7월 21일,인문,당신은 다른 사람의 성공에 기여한 적 있는가?,이소영,퍼블리온,https://www.yes24.com/Product/Goods/98832816
2023년 7월 18일,사회과학,이토록 뜻밖의 뇌과학,리사 펠드먼 배럿,더퀘스트,https://www.yes24.com/Product/Goods/102831219
2023년 7월 17일,문학,최선을 다하면 죽는다,"황선우, 김혼비",문학동네,https://www.yes24.com/Product/Goods/119311211
2023년 7월 15일,문학,희랍어 시간,한강,문학동네,https://www.yes24.com/Product/Goods/5926713
2023년 7월 13일,인문,결정적 순간의 대화,"케리 패터슨, 조셉 그레니, 론 맥밀런, 알 스위즐러",김영사,https://www.yes24.com/Product/Goods/9224332
2023년 7월 10일,인문,빅터 프랭클의 죽음의 수용소에서,빅터 프랭클,청아출판사,https://www.yes24.com/Product/Goods/90384709
2023년 7월 9일,경제경영,언러닝,배리 오라일리,위즈덤하우스,https://www.yes24.com/Product/Goods/117184225
2023년 7월 6일,경제경영,최고의 조직,김성준,포르체,https://www.yes24.com/Product/Goods/110834611
2023년 7월 4일,인문,컨티뉴어스,윤소정,다산북스,https://www.yes24.com/Product/Goods/118828090
2023년 7월 3일,경제경영,채용 트렌드 2023,윤영돈,비전코리아,https://www.yes24.com/Product/Goods/115284392
2023년 6월 29일,인문,내가 가진 것을 세상이 원하게 하라,최인아,해냄,https://www.yes24.com/Product/Goods/118429999
2023년 6월 27일,경제경영,순서 파괴,"콜린 브라이어, 빌 카",다산북스,https://www.yes24.com/Product/Goods/97676776
